Unnamed: 0,title,rating,salary,job,founded_in,field,other
0,TCS,3.3,970000.0,2500.0,1968 (58 yrs old),IT Services & Consulting , Surat +438 other locations
1,Accenture,3.7,650000.0,34900.0,1989 (37 yrs old),IT Services & Consulting , Surat +254 other locations
2,Wipro,3.6,470000.0,7100.0,1945 (81 yrs old),IT Services & Consulting , Surat +369 other locations
3,HDFC Bank,3.8,150000.0,247.0,1994 (32 yrs old),Banking , Surat +1819 other locations
4,Infosys,3.5,520000.0,2200.0,,IT Services & Consulting , Surat +246 other locations
5,ICICI Bank,4.0,150000.0,15.0,1994 (32 yrs old),Banking , Surat +1436 other locations
6,HCLTech,3.4,370000.0,178.0,,IT Services & Consulting , Surat +226 other locations
7,Tech Mahindra,3.4,280000.0,351.0,1986 (40 yrs old),IT Services & Consulting , Surat +331 other locations
8,Teleperformance,3.8,95500.0,1200.0,1978 (48 yrs old),BPO , Surat +253 other locations
9,Axis Bank,3.6,100000.0,230.0,1993 (33 yrs old),Banking , Surat +1498 other locations
10,Jio,4.4,62200.0,3.0,2018 (8 yrs old),Telecom , Surat +1882 other locations
11,Concentrix Corporation,3.6,130000.0,82.0,1983 (43 yrs old),BPO , Surat +179 other locations
12,Amazon,3.9,150000.0,1500.0,1994 (32 yrs old),Internet , Surat +518 other locations
13,iEnergizer,4.6,23900.0,71.0,,BPO , Surat +51 other locations
14,Reliance Retail,3.9,74600.0,135.0,2006 (20 yrs old),Retail , Surat +1150 other locations
15,LTIMindtree,3.6,190000.0,436.0,1997 (29 yrs old),IT Services & Consulting , Surat +146 other locations
16,IBM,3.9,210000.0,938.0,1911 (115 yrs old),IT Services & Consulting , Surat +160 other locations
17,HDB Financial Services,3.9,50200.0,174.0,2007 (19 yrs old),NBFC , Surat +1089 other locations
18,Larsen & Toubro Limited,3.9,74200.0,164.0,1938 (88 yrs old),Engineering & Construction , Surat +754 other locations
19,Kotak Mahindra Bank,3.6,86300.0,56.0,,Banking , Surat +681 other locations
20,Reliance Industries,4.0,15700.0,53.0,,Oil & Gas , Surat +812 other locations
21,Vodafone Idea,3.9,50300.0,38.0,2018 (8 yrs old),Telecom , Surat +703 other locations
22,Bharti Airtel,3.8,49100.0,114.0,1952 (74 yrs old),Telecom , Surat +789 other locations
23,BYJU'S,3.2,53500.0,53.0,2011 (15 yrs old),EdTech , Surat +321 other locations
24,Tata Motors,4.1,43200.0,172.0,1945 (81 yrs old),Automobile , Surat +505 other locations
25,IDFC FIRST Bank,3.9,48600.0,27.0,,Banking , Surat +710 other locations
26,IndusInd Bank,3.4,51800.0,143.0,,Banking , Surat +786 other locations
27,AU Small Finance Bank,3.9,28500.0,31.0,1996 (30 yrs old),Banking , Surat +782 other locations
28,Flipkart,3.9,53800.0,174.0,2007 (19 yrs old),Internet , Surat +559 other locations
29,Bajaj Finserv,3.9,29900.0,4.0,2007 (19 yrs old),NBFC , Surat +1160 other locations
30,Muthoot FinCorp,4.5,8800.0,40.0,,NBFC , Surat +1087 other locations
31,PwC,3.3,120000.0,821.0,1880 (146 yrs old),Management Consulting , Surat +132 other locations
32,Infosys BPM,3.5,15700.0,53.0,2002 (24 yrs old),BPO , Surat +95 other locations
33,Mahindra & Mahindra,4.0,39500.0,1.0,1945 (81 yrs old),Automobile , Surat +561 other locations
34,HDFC Life,3.9,33100.0,115.0,,Insurance , Surat +697 other locations
35,Bandhan Bank,3.7,25900.0,12.0,,Banking , Surat +995 other locations
36,Conneqt Business Solutions,3.6,26400.0,363.0,2002 (24 yrs old),BPO , Surat +267 other locations
37,Yes Bank,3.7,43300.0,166.0,2004 (22 yrs old),Banking , Surat +540 other locations
38,Tata Steel,4.0,33800.0,53.0,1907 (119 yrs old),Iron & Steel , Surat +228 other locations
39,Quess,3.8,30500.0,2.0,2007 (19 yrs old),Recruitment , Surat +739 other locations
40,Startek,3.1,24400.0,128.0,2017 (9 yrs old),BPO , Surat +107 other locations
41,Asian Paints,4.0,25100.0,53.0,,Chemicals , Surat +547 other locations
42,UltraTech Cement,4.1,24000.0,25.0,1983 (43 yrs old),Building Material , Surat +534 other locations
43,Paytm,3.2,33900.0,325.0,,FinTech , Surat +418 other locations
44,Shriram Finance,4.0,15200.0,8.0,1979 (47 yrs old),NBFC , Surat +1109 other locations
45,Bajaj Finance,3.9,15700.0,53.0,,NBFC , Surat +965 other locations
46,Maruti Suzuki,4.2,27400.0,693.0,1981 (45 yrs old),Automobile , Surat +446 other locations
47,Equitas Small Finance Bank,4.4,13200.0,12.0,,Banking , Surat +479 other locations
48,Cipla,4.1,26000.0,65.0,1935 (91 yrs old),Pharma , Surat +291 other locations
49,Samsung,3.9,26300.0,28.0,1969 (57 yrs old),Consumer Electronics & Appliances , Surat +577 other locations
50,Ericsson,3.9,42600.0,65.0,,Telecom , Surat +162 other locations
51,Wells Fargo,3.7,55100.0,91.0,,Financial Services , Surat +28 other locations
52,Dr. Reddy's,4.0,25900.0,9.0,1984 (42 yrs old),Pharma , Surat +213 other locations
53,Delhivery,3.8,21100.0,165.0,2011 (15 yrs old),Logistics , Surat +751 other locations
54,ICICI Prudential Life Insurance,4.0,22900.0,472.0,2000 (26 yrs old),Insurance , Surat +505 other locations
55,HGS,3.7,20900.0,15.0,2000 (26 yrs old),BPO , Surat +121 other locations
56,Jana Small Finance Bank,3.8,14300.0,56.0,2006 (20 yrs old),Banking , Surat +419 other locations
57,Sun Pharmaceutical Industries,4.1,23200.0,283.0,,Pharma , Surat +263 other locations
58,Amazon Development Centre India,3.8,38300.0,7.0,2017 (9 yrs old),Internet , Surat +146 other locations
59,Ujjivan Small Finance Bank,4.0,12900.0,142.0,2017 (9 yrs old),Banking , Surat +532 other locations
60,Hexaware Technologies,3.4,53100.0,543.0,1990 (36 yrs old),IT Services & Consulting , Surat +66 other locations
61,Lupin,4.1,22500.0,34.0,,Pharma , Surat +202 other locations
62,Zydus Lifesciences,3.9,19900.0,21.0,1952 (74 yrs old),Pharma , Surat +176 other locations
63,L&T Construction,4.0,19200.0,53.0,1944 (82 yrs old),Engineering & Construction , Surat +432 other locations
64,Ekart Logistics,3.9,15700.0,53.0,2009 (17 yrs old),Logistics , Surat +736 other locations
65,Hindustan Unilever,4.2,15700.0,53.0,,FMCG , Surat +530 other locations
66,KPMG India,3.4,64500.0,54.0,1993 (33 yrs old),Management Consulting , Surat +111 other locations
67,ITC,3.9,24300.0,76.0,1910 (116 yrs old),FMCG , Surat +375 other locations
68,Axis Max Life Insurance,4.0,19900.0,145.0,2000 (26 yrs old),Insurance , Surat +494 other locations
69,Megha Engineering & Infrastructures,3.9,18400.0,24.0,1989 (37 yrs old),Engineering & Construction , Surat +405 other locations
70,Tata Projects,4.2,22100.0,29.0,,Engineering & Construction , Surat +284 other locations
71,Bajaj Life Insurance,3.9,17200.0,50.0,2001 (25 yrs old),Insurance , Surat +606 other locations
72,L&T Technology Services,3.1,42700.0,53.0,2012 (14 yrs old),IT Services & Consulting , Surat +93 other locations
73,Cholamandalam Investment & Finance,3.8,12700.0,12.0,1978 (48 yrs old),Financial Services , Surat +840 other locations
74,IIFL Finance,4.0,14000.0,70.0,1995 (31 yrs old),NBFC , Surat +800 other locations
75,Muthoot Finance,3.7,13000.0,83.0,,NBFC , Surat +784 other locations
76,Indian Army,4.7,9500.0,53.0,1895 (131 yrs old),Defence & Aerospace , Surat +364 other locations
77,JLL,4.1,24200.0,248.0,1999 (27 yrs old),Real Estate , Surat +85 other locations
78,Piramal Finance,4.2,12500.0,5.0,10k-50k,NBFC , Surat +424 other locations
79,DMart,3.9,18200.0,181.0,2002 (24 yrs old),Retail , Surat +246 other locations
80,Indiamart Intermesh,3.5,20300.0,513.0,1996 (30 yrs old),Internet , Surat +172 other locations
81,Udaan,3.9,15600.0,4.0,,Internet , Surat +368 other locations
82,SMFG India Credit,3.9,10800.0,88.0,2007 (19 yrs old),NBFC , Surat +592 other locations
83,Siemens,3.9,33500.0,84.0,,Industrial Automation , Surat +152 other locations
84,BigBasket,3.9,19000.0,100.0,,Internet , Surat +138 other locations
85,Manappuram Finance,3.9,9000.0,7.0,1949 (77 yrs old),NBFC , Surat +647 other locations
86,Shapoorji Pallonji Group,4.1,15300.0,67.0,1865 (161 yrs old),Engineering & Construction , Surat +188 other locations
87,Tata Capital,4.0,15500.0,2900.0,2007 (19 yrs old),NBFC , Surat +438 other locations
88,ICICI Lombard General Insurance Company,3.5,20100.0,176.0,2001 (25 yrs old),Insurance , Surat +311 other locations
89,Standard Chartered,3.6,42100.0,53.0,1853 (173 yrs old),Banking , Surat +68 other locations
90,Mahindra Finance,3.9,11900.0,396.0,1991 (35 yrs old),NBFC , Surat +730 other locations
91,Apollo Hospitals,4.1,16300.0,142.0,1983 (43 yrs old),Healthcare , Surat +229 other locations
92,PolicyBazaar,3.7,17100.0,414.0,,Internet , Surat +149 other locations
93,Ashok Leyland,4.0,18600.0,53.0,1948 (78 yrs old),Automobile , Surat +255 other locations
94,Citicorp,3.7,51800.0,53.0,1997 (29 yrs old),Financial Services , Surat +68 other locations
95,Swiggy,3.7,22900.0,258.0,2014 (12 yrs old),Internet , Surat +228 other locations
96,Hero MotoCorp,4.1,15700.0,2.0,1984 (42 yrs old),Automobile , Surat +364 other locations
97,Cyient,3.6,27400.0,71.0,1991 (35 yrs old),IT Services & Consulting , Surat +48 other locations
98,SBI Cards & Payment Services,3.6,15800.0,99.0,1998 (28 yrs old),Financial Services , Surat +435 other locations
99,Kalpataru Projects International,4.2,13600.0,1.0,1981 (45 yrs old),Engineering & Construction , Surat +321 other locations
100,JustDial,3.5,15200.0,52.0,1996 (30 yrs old),Internet , Surat +229 other locations
101,SBI Life Insurance Company,3.7,11700.0,5.0,2001 (25 yrs old),Insurance , Surat +654 other locations
102,Nagarjuna Construction Company,4.0,12000.0,5.0,1998 (28 yrs old),Engineering & Construction , Surat +295 other locations
103,TVS Motor,3.9,15800.0,65.0,1979 (47 yrs old),Automobile , Surat +349 other locations
104,CBRE,4.1,18600.0,18.0,1906 (120 yrs old),Real Estate , Surat +91 other locations
105,Schneider Electric,4.2,24300.0,24.0,1999 (27 yrs old),Industrial Automation , Surat +119 other locations
106,vivo,4.1,12900.0,8.0,2009 (17 yrs old),Consumer Electronics & Appliances , Surat +414 other locations
107,State Bank of India,3.8,11600.0,8.0,1806 (220 yrs old),Banking , Surat +617 other locations
108,Ecom Express,4.0,9600.0,53.0,2012 (14 yrs old),Logistics , Surat +774 other locations
109,KEC International,4.0,13400.0,4.0,1945 (81 yrs old),Engineering & Construction , Surat +312 other locations
110,JBM Group,3.9,13900.0,42.0,,Auto Components , Surat +116 other locations
111,Varun Beverages,4.0,11900.0,36.0,1995 (31 yrs old),Beverage , Surat +379 other locations
112,Home Credit Finance,4.0,9400.0,95.0,2012 (14 yrs old),NBFC , Surat +136 other locations
113,Bosch,4.1,20700.0,34.0,1886 (140 yrs old),Auto Components , Surat +130 other locations
114,Randstad,3.7,16400.0,9.0,1992 (34 yrs old),Recruitment , Surat +352 other locations
115,Hewlett Packard Enterprise,4.1,27100.0,199.0,2015 (11 yrs old),IT Services & Consulting , Surat +103 other locations
116,Mahindra Logistics,3.7,13000.0,1.0,2000 (26 yrs old),Logistics , Surat +233 other locations
117,Utkarsh Small Finance Bank,3.6,10700.0,23.0,2009 (17 yrs old),Banking , Surat +407 other locations
118,L&T Finance,3.9,11600.0,53.0,1994 (32 yrs old),NBFC , Surat +632 other locations
119,Aditya Birla Fashion and Retail,4.1,13100.0,75.0,,Fashion & Textile , Surat +292 other locations
120,OPPO,3.9,11900.0,10.0,2004 (22 yrs old),Consumer Electronics & Appliances , Surat +409 other locations
121,Dell,3.8,28800.0,13.0,1984 (42 yrs old),Consumer Electronics & Appliances , Surat +117 other locations
122,CARS24,3.4,15700.0,53.0,,Internet , Surat +173 other locations
123,Havells,3.9,15100.0,33.0,1983 (43 yrs old),Electrical Equipment , Surat +260 other locations
124,Intas Pharmaceuticals,4.1,17300.0,49.0,1977 (49 yrs old),Pharma , Surat +148 other locations
125,Tata AIA Life Insurance,3.9,13900.0,678.0,2001 (25 yrs old),Insurance , Surat +442 other locations
126,Hyundai Motor India Limited,4.1,13800.0,4.0,1967 (59 yrs old),Automobile , Surat +287 other locations
127,Deutsche Bank,3.8,35900.0,370.0,1870 (156 yrs old),Banking , Surat +42 other locations
128,Motilal Oswal Financial Services,3.7,12900.0,51.0,,Financial Services , Surat +168 other locations
129,Team Lease,3.9,16000.0,53.0,2016 (10 yrs old),Recruitment , Surat +396 other locations
130,Berger Paints,3.7,10000.0,124.0,,Chemicals , Surat +354 other locations
131,VE Commercial Vehicles,3.9,14100.0,6.0,2008 (18 yrs old),Automobile , Surat +179 other locations
132,Lenskart,3.3,13200.0,126.0,,Internet , Surat +240 other locations
133,Thermax Limited,4.2,13100.0,73.0,1966 (60 yrs old),Industrial Machinery , Surat +250 other locations
134,Macleods Pharmaceuticals,3.7,15500.0,7.0,1986 (40 yrs old),Pharma , Surat +132 other locations
135,Bajaj Auto,3.8,14500.0,53.0,1945 (81 yrs old),Automobile , Surat +317 other locations
